"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"
1993,1.62,0.86,0.79,1.88,3.58,1.87,2.06,1.37,0.08,0.89,0.11,0.49,15.6
1994,0.37,0.99,0.27,1.02,1.09,1.34,0.41,0.95,0.77,1.88,1.69,1.65,12.43
1995,1.48,0.15,3.14,1.83,4.29,4.86,1.71,0.49,1.02,0.59,0.66,1.12,21.34
1996,1.04,0.47,0.67,1.38,2.05,1.28,0.59,0.57,1.28,0.87,1.23,1.56,12.99
1997,1.18,0.26,0.52,1.24,2.14,2.34,0.9,1.64,0.66,0.63,0.4,0.67,12.58
1998,0.98,1.13,0.78,1.5,4.68,2.11,0.79,0.35,1.04,0.32,1,0.65,15.33
1999,1.08,1.28,0.22,1.67,4.2,1.68,0,1.2,0.03,0.14,0.18,1,12.68
2000,0.75,1.32,0.85,1.24,2.05,0.76,0.44,0.02,1.2,1.41,0.79,0.52,11.35
2001,0.53,0.36,0.47,1.05,0.12,0.99,0.91,0.77,0.17,0.95,1.35,1.45,9.12
2002,0.67,0.17,0.35,0.8,0.89,1.29,0.28,0.24,0.75,0.38,0.71,0.88,7.41
2003,0.29,0.77,0.5,3.52,1.56,0.28,0.05,0.15,0.33,0.04,0.26,1.53,9.28
2004,0.76,1.14,0.5,1.18,1.44,1.73,0.74,0.91,0.93,2.79,0,1.18,13.3
2005,0.75,0.11,1.1,1.59,2.81,1.98,0.07,0.48,1.46,2.01,0.96,2.09,15.41
2006,1.59,0.32,1.4,2.71,0.66,1.77,0.7,0.39,0.93,1.95,0.95,0.65,14.02
